,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Native,Estimate_Total_Native_Speak_only_English,Estimate_Total_Native_Speak_Spanish,Estimate_Total_Native_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_Speak_Spanish_Speak_English_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_Indo-European_languages,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_languages,Estimate_Total_Native_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_languages_Speak_English_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born,Estimate_Total_Foreign_born_Speak_only_English,Estimate_Total_Foreign_born_Speak_Spanish,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_languages,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_at_all,FB_Doesnt_Speak_Well_At_All_Spanish,FB_Doesnt_Speak_Well_At_All_Other_Indo_European,FB_Doesnt_Speak_Well_At_All_Asian_Pacific_Island
13,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",6861,6330,5590,491,475,16,0,0,127,127,0,0,0,81,81,0,0,0,41,41,0,0,0,531,201,70,55,15,0,0,146,124,22,0,0,102,72,30,0,0,12,12,0,0,0,0,0,0
14,1400000US12001001000,"Census Tract 10, Alachua County, Florida",6313,5719,5280,346,267,79,0,0,84,84,0,0,0,4,4,0,0,0,5,5,0,0,0,594,147,159,109,50,0,0,219,214,5,0,0,69,65,4,0,0,0,0,0,0,0,0,0,0
15,1400000US12001001100,"Census Tract 11, Alachua County, Florida",6009,5359,5130,142,142,0,0,0,59,59,0,0,0,28,28,0,0,0,0,0,0,0,0,650,243,87,77,10,0,0,224,182,42,0,0,96,75,0,21,0,0,0,0,0,0,0,0,21
16,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",2590,2076,1799,146,146,0,0,0,118,118,0,0,0,13,5,8,0,0,0,0,0,0,0,514,30,171,141,30,0,0,226,226,0,0,0,87,6,72,9,0,0,0,0,0,0,0,0,9
17,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",6652,5793,5388,356,190,18,148,0,32,32,0,0,0,17,0,17,0,0,0,0,0,0,0,859,252,191,68,37,61,25,256,190,66,0,0,160,61,99,0,0,0,0,0,0,0,86,0,0
18,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",3451,3011,2838,119,116,3,0,0,18,18,0,0,0,36,30,6,0,0,0,0,0,0,0,440,142,153,72,24,35,22,63,54,0,9,0,82,82,0,0,0,0,0,0,0,0,57,9,0
19,1400000US12001001400,"Census Tract 14, Alachua County, Florida",3941,3858,3678,159,101,48,10,0,8,8,0,0,0,13,13,0,0,0,0,0,0,0,0,83,36,25,10,8,7,0,11,11,0,0,0,11,6,5,0,0,0,0,0,0,0,7,0,0
20,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",1076,794,763,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,80,80,80,0,0,0,70,70,0,0,0,41,9,21,6,5,11,11,0,0,0,0,0,11
21,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",4927,3969,3437,268,247,21,0,0,177,177,0,0,0,87,87,0,0,0,0,0,0,0,0,958,161,279,247,0,32,0,179,166,13,0,0,298,150,129,19,0,41,0,29,12,0,32,0,19
22,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",1746,1358,1237,87,87,0,0,0,6,6,0,0,0,28,15,0,13,0,0,0,0,0,0,388,159,73,48,9,0,16,100,100,0,0,0,56,15,31,10,0,0,0,0,0,0,16,0,10
23,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",5068,4184,3743,144,101,43,0,0,228,228,0,0,0,29,9,0,20,0,40,40,0,0,0,884,339,157,98,59,0,0,245,200,0,45,0,47,34,13,0,0,96,0,96,0,0,0,45,0
24,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",2493,1644,1494,96,88,8,0,0,35,21,14,0,0,19,19,0,0,0,0,0,0,0,0,849,150,123,112,5,6,0,235,220,15,0,0,341,198,119,24,0,0,0,0,0,0,6,0,24
25,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",2171,1720,1614,83,51,32,0,0,5,5,0,0,0,18,13,0,5,0,0,0,0,0,0,451,24,352,156,83,91,22,6,6,0,0,0,63,15,48,0,0,6,6,0,0,0,113,0,0
26,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",3464,2876,2632,168,161,7,0,0,18,18,0,0,0,58,58,0,0,0,0,0,0,0,0,588,81,194,144,39,11,0,61,61,0,0,0,214,71,114,29,0,38,14,11,13,0,11,0,29
27,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",1568,1506,1450,25,25,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,26,18,0,8,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
28,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",7563,6602,6069,463,373,33,18,39,28,28,0,0,0,28,28,0,0,0,14,14,0,0,0,961,352,109,97,0,12,0,218,207,11,0,0,223,57,42,124,0,59,59,0,0,0,12,0,124
29,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",6132,5338,5121,156,156,0,0,0,34,34,0,0,0,27,0,27,0,0,0,0,0,0,0,794,322,344,313,0,29,2,60,35,25,0,0,54,44,0,10,0,14,14,0,0,0,31,0,10
30,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",5019,4424,4187,207,195,0,12,0,30,17,0,13,0,0,0,0,0,0,0,0,0,0,0,595,152,93,46,0,47,0,177,110,67,0,0,149,42,77,19,11,24,12,12,0,0,47,0,30
31,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",6376,6131,5967,49,49,0,0,0,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,245,57,80,65,13,0,2,98,51,47,0,0,10,0,10,0,0,0,0,0,0,0,2,0,0
32,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",2566,2467,2366,75,60,0,15,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,99,32,36,35,0,0,1,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,1,0,0
33,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",5940,5462,5221,183,167,16,0,0,22,22,0,0,0,36,12,0,24,0,0,0,0,0,0,478,133,32,18,14,0,0,170,114,43,13,0,143,21,43,79,0,0,0,0,0,0,0,13,79
34,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",1615,1509,1405,85,75,10,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,106,47,8,8,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",8338,7912,7437,317,297,20,0,0,158,135,23,0,0,0,0,0,0,0,0,0,0,0,0,426,95,249,131,45,73,0,49,22,27,0,0,33,33,0,0,0,0,0,0,0,0,73,0,0
36,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",6706,5129,4563,307,268,28,11,0,86,68,0,18,0,173,173,0,0,0,0,0,0,0,0,1577,213,167,139,13,15,0,435,279,156,0,0,753,248,284,221,0,9,9,0,0,0,15,0,221
37,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",2841,2308,2114,52,52,0,0,0,38,38,0,0,0,88,88,0,0,0,16,16,0,0,0,533,177,52,52,0,0,0,38,22,16,0,0,245,205,40,0,0,21,21,0,0,0,0,0,0
38,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",2853,2373,2165,208,169,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,76,183,183,0,0,0,208,157,32,19,0,13,13,0,0,0,0,0,0,0,0,0,19,0
39,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",2918,2815,2759,49,49,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,103,47,9,0,0,0,9,0,0,0,0,0,47,38,9,0,0,0,0,0,0,0,9,0,0
40,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",2711,2643,2549,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,15,30,22,0,8,0,3,3,0,0,0,20,20,0,0,0,0,0,0,0,0,8,0,0
41,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",3894,3710,3535,101,71,30,0,0,16,16,0,0,0,58,27,10,21,0,0,0,0,0,0,184,141,6,0,2,0,4,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
42,1400000US12001002000,"Census Tract 20, Alachua County, Florida",5128,5049,4998,46,35,11,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79,49,30,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",1802,1676,1666,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,126,33,0,0,0,0,0,68,4,39,25,0,25,8,17,0,0,0,0,0,0,0,0,25,0
44,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",795,766,749,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,6,6,0,0,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
45,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",4368,4120,3995,90,60,30,0,0,27,21,0,6,0,0,0,0,0,0,8,8,0,0,0,248,126,18,18,0,0,0,52,52,0,0,0,52,32,0,20,0,0,0,0,0,0,0,0,20
46,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",5648,5427,5173,111,35,47,29,0,116,116,0,0,0,0,0,0,0,0,27,27,0,0,0,221,94,9,0,9,0,0,77,58,19,0,0,41,28,0,13,0,0,0,0,0,0,0,0,13
47,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",10284,8619,7731,487,461,26,0,0,178,117,61,0,0,142,78,12,52,0,81,81,0,0,0,1665,581,312,230,40,0,42,350,335,15,0,0,355,66,188,101,0,67,67,0,0,0,42,0,101
48,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",9265,8128,7564,244,221,23,0,0,235,184,51,0,0,85,85,0,0,0,0,0,0,0,0,1137,359,183,182,0,0,1,355,295,21,39,0,221,161,47,0,13,19,19,0,0,0,1,39,13
49,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",3458,2750,2430,154,130,24,0,0,84,49,18,17,0,22,22,0,0,0,60,52,0,8,0,708,258,147,105,35,7,0,192,182,10,0,0,90,55,35,0,0,21,12,0,9,0,7,0,0
50,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",2388,2188,2078,72,29,34,9,0,26,26,0,0,0,12,12,0,0,0,0,0,0,0,0,200,67,16,16,0,0,0,71,71,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0
51,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",7135,6384,6125,222,164,58,0,0,12,12,0,0,0,19,19,0,0,0,6,6,0,0,0,751,222,118,24,44,50,0,115,91,24,0,0,268,259,9,0,0,28,0,28,0,0,50,0,0
52,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",3959,3780,3584,114,114,0,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,179,61,43,30,13,0,0,53,39,7,0,7,22,22,0,0,0,0,0,0,0,0,0,7,0
53,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",5123,4506,4342,86,70,16,0,0,78,58,20,0,0,0,0,0,0,0,0,0,0,0,0,617,132,231,218,0,13,0,118,73,45,0,0,136,34,64,38,0,0,0,0,0,0,13,0,38
54,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",2100,2024,1908,96,75,15,6,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,76,38,19,5,6,8,0,16,9,7,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0
55,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",4905,4092,3779,273,226,39,8,0,7,7,0,0,0,24,24,0,0,0,9,9,0,0,0,813,167,188,81,67,40,0,237,199,38,0,0,131,50,37,44,0,90,35,44,11,0,40,0,44
56,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",1641,1510,1434,76,61,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,67,28,16,0,4,8,32,2,0,30,0,0,0,0,0,0,4,4,0,0,0,12,30,0
57,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",2115,1947,1832,54,54,0,0,0,42,42,0,0,0,19,19,0,0,0,0,0,0,0,0,168,119,35,11,0,24,0,1,1,0,0,0,13,0,13,0,0,0,0,0,0,0,24,0,0
